latitude,longitude,town,postcode,epci,county,images/0,images/1,images/2,images/3,images/4,images/5,images/6,images/7,images/8,images/9,images/10,images/11,images/12,images/13
45.67391,0.12587,Saint-Yrieix-sur-Charente,16710,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/eb8ea105_cdca_4a5b_8e34_9bc893ac5b5e_jpg_bfcee88ed2.jpg,https://api.v2.clean2gether.com/uploads/8020ac33_eefe_4209_9001_266e5e4826c1_jpg_2a51322873.jpg,,,,,,,,,,,,
45.65189,-0.3505,Gimeux,16130,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/0bb68d05_85b9_43b2_adf0_a75bc21a8aeb_jpg_28fa611b09.jpg,,,,,,,,,,,,,
45.53692,0.23953,Torsac,16410,CC Lavalette Tude Dronne,Charente,https://api.v2.clean2gether.com/uploads/fb7a6352_6e8a_4138_bc8f_ef887e2a466e_jpg_5e64746157.jpg,https://api.v2.clean2gether.com/uploads/c7456a17_34d0_488c_92aa_d167f53563f8_jpg_b1f0f57506.jpg,,,,,,,,,,,,
45.67285,0.17542,Gond-Pontouvre,16160,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/ddf273eb_fac7_4562_ae31_8b35ee9fb44a_jpg_7634593efe.jpg,,,,,,,,,,,,,
44.82322,-0.57749,Bordeaux,33000,Bordeaux Métropole,Gironde,https://api.v2.clean2gether.com/uploads/fe2a59d8_80f8_4bc8_ad0a_ead4ee6a7a53_jpg_fc52e10172.jpg,,,,,,,,,,,,,
45.67657,0.24159,Ruelle-sur-Touvre,16600,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/46195065_204f_4218_8b93_a62e3f3a026f_jpg_5bb7ce4a04.jpg,,,,,,,,,,,,,
45.45101,-0.12972,Salles-de-Barbezieux,16300,CC des 4B Sud Charente,Charente,https://api.v2.clean2gether.com/uploads/8ce0326a_fc68_4604_b022_bd057bc16df3_jpg_d837d34616.jpg,https://api.v2.clean2gether.com/uploads/61044de9_5ad1_4f57_a4c0_5fee39f0ef43_jpg_662f615b5d.jpg,,,,,,,,,,,,
45.72112,-0.34535,Cherves-Richemont,16370,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/9ccc28c0_0e1f_4741_8cef_98e6b4622026_jpg_1a27edec35.jpg,,,,,,,,,,,,,
45.66607,0.28531,Mornac,16600,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/16_E39_D3_E_E132_4_A36_AFFA_CCF_71_CC_28_A61_jpg_3c558b607e.jpg,,,,,,,,,,,,,
45.66245,0.37757,Chazelles,16380,CC La Rochefoucauld - Porte du Périgord,Charente,https://api.v2.clean2gether.com/uploads/6_F78_C68_C_A167_4_A07_83_CB_2997_A48_CABDA_jpg_670e00d582.jpg,,,,,,,,,,,,,
45.44415,0.10105,Pérignac,16250,CC des 4B Sud Charente,Charente,https://api.v2.clean2gether.com/uploads/99_DA_3102_B868_4662_9337_C8977_BF_57083_jpg_2284161199.jpg,https://api.v2.clean2gether.com/uploads/E7_BB_8_A9_F_C013_4947_A685_A2_A18_C6_E329_F_jpg_1bc818936e.jpg,,,,,,,,,,,,
45.6897,0.25819,Ruelle-sur-Touvre,16600,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/4357b10c_b0bd_485c_81ea_4a345063b366_jpg_02ea72a946.jpg,,,,,,,,,,,,,
45.69408,0.27606,Mornac,16600,CA du Grand Angoulême,Charente,https://api.v2.clean2gether.com/uploads/1164e795_d07e_4859_85b0_bdd44340232d_jpg_c3a5e480c6.jpg,,,,,,,,,,,,,
45.44653,0.10519,Pérignac,16250,CC des 4B Sud Charente,Charente,https://api.v2.clean2gether.com/uploads/15_D4388_F_7_A97_4_F19_8760_C4_CAB_3_FB_89_EF_jpg_2d740cc8be.jpg,https://api.v2.clean2gether.com/uploads/EFF_98_DB_0_71_D4_4117_9_C10_2168187_E2711_jpg_16bcf5db1a.jpg,https://api.v2.clean2gether.com/uploads/A68_FFEB_8_84_DC_4_EB_1_B259_0420_BC_104_E7_B_jpg_73169dbe35.jpg,,,,,,,,,,,
44.66948,-0.45719,Castres-Gironde,33640,CC de Montesquieu,Gironde,https://api.v2.clean2gether.com/uploads/6ba2fc17_e9d2_4fb5_9514_8c79c499bb0f_jpg_f18fb5dbe2.jpg,,,,,,,,,,,,,
45.7609,-0.20071,Houlette,16200,CA du Grand Cognac,Charente,https://api.v2.clean2gether.com/uploads/5435c713_3b7e_4c5e_ba68_2120457e7a7a_jpg_83738177d3.jpg,https://api.v2.clean2gether.com/uploads/31cc087c_2599_4a5e_a3e6_370660ca3a04_jpg_7a1a8ea729.jpg,,,,,,,,,,,,
45.99296,-1.37973,Saint-Georges-d'Oléron,17190,CC de l'Ile d'Oléron,Charente-Maritime,https://api.v2.clean2gether.com/uploads/0312688b_cf22_4a08_a2ef_7e390f629853_jpg_0ae19ba3f5.jpg,,,,,,,,,,,,,
45.95744,0.57539,Ambernac,16490,CC de Charente Limousine,Charente,https://api.v2.clean2gether.com/uploads/a4cd6e03_8940_4277_a8fd_b3dea72a4327_jpg_f236044d9f.jpg,,,,,,,,,,,,,
