latitude,longitude,town,postcode,epci,county,images/0,images/1,images/2,images/3,images/4,images/5,images/6,images/7,images/8,images/9,images/10,images/11,images/12,images/13
45.6754,0.24273,Ruelle-sur-Touvre,16600,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/5fe3052c_c85a_4df6_a5d1_6d127057279a_jpg_1a3a062922.jpg,,,,,,,,,,,,,
45.59092,0.27279,Dirac,16410,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/0291_B2_E8_6_B06_4_C7_E_8350_7756_A0_B07728_jpg_846c4b6d2c.jpg,,,,,,,,,,,,,
45.54825,0.12207,Mouthiers-sur-BoǮme,16440,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/ca6a7e33_7238_4a67_a833_972e3aff6a9d_jpg_65d561f868.jpg,https://api.v2.clean2gether.com/uploads/8f9351ea_404c_41fe_9f79_7f6ec25a54dd_jpg_2c7fda7ca8.jpg,,,,,,,,,,,,
45.64459,0.11869,AngoulǦme,16000,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/1_D0_BDF_99_560_E_4_E18_B086_0_FB_69_F6_CCCD_6_jpg_e1b0acfb55.jpg,,,,,,,,,,,,,
45.63751,0.14252,AngoulǦme,16000,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/e3ad4490_f297_45ff_b455_fa66ce882984_jpg_9ffddb7edb.jpg,,,,,,,,,,,,,
45.64074,0.19529,Soyaux,16800,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/212ef854_898b_42d0_83a2_e64b35889154_jpg_5172e5bbb8.jpg,https://api.v2.clean2gether.com/uploads/3c0506ce_2d6c_4355_8736_2c406eafa0c2_jpg_952ecec497.jpg,,,,,,,,,,,,
45.79096,0.3016,La Rochette,16110,CC La Rochefoucauld - Porte du PǸrigord,Charente,https://api.v2.clean2gether.com/uploads/4_E9979_A9_C236_43_C3_8072_5_EE_7_D3_E84_A01_jpg_795ddb7496.jpg,,,,,,,,,,,,,
45.73976,0.24252,Brie,16590,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/D4_DB_8520_D9_D2_44_C9_A5_F8_7_AE_5656872_BE_jpg_925a2f4855.jpg,,,,,,,,,,,,,
45.68457,0.23062,Ruelle-sur-Touvre,16600,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/7_DBF_1139_6_B65_4_D33_8_B29_7095_E0138_CA_0_jpg_f8e2bf259d.jpg,https://api.v2.clean2gether.com/uploads/1_C2752_EB_FBB_1_4_FED_8_DE_0_B7_E5175_D464_E_jpg_0cbac624c7.jpg,https://api.v2.clean2gether.com/uploads/686_FA_54_D_DC_40_4_BFB_BD_83_95882098_AA_06_jpg_ffb28b92ca.jpg,,,,,,,,,,,
45.72674,0.22393,Champniers,16430,CA du Grand AngoulǦme,Charente,https://api.v2.clean2gether.com/uploads/F725_D91_B_7697_4442_9_CEA_05_B4_C7832_E28_jpg_4652b7cbc2.jpg,,,,,,,,,,,,,
