lon;lat
-4.104528;40.224579
-4.059726;40.224579
-4.014922;40.224579
-5.000000;40.269495
-4.955254;40.269495
-4.910504;40.269495
-4.865752;40.269495
-4.820996;40.269495
-4.776238;40.269495
-4.731477;40.269495
-4.686713;40.269495
-4.641946;40.269495
-4.597176;40.269495
-4.552403;40.269495
-4.507628;40.269495
-4.462850;40.269495
-4.418069;40.269495
-4.373285;40.269495
-4.328499;40.269495
-4.283710;40.269495
-4.238918;40.269495
-4.194124;40.269495
-4.149327;40.269495
-4.104528;40.269495
-4.059726;40.269495
-4.014922;40.269495
-5.000000;40.314410
-4.955254;40.314410
-4.910504;40.314410
-4.865752;40.314410
-4.820996;40.314410
-4.776238;40.314410
-4.731477;40.314410
-4.686713;40.314410
-4.641946;40.314410
-4.597176;40.314410
-4.552403;40.314410
-4.507628;40.314410
-4.462850;40.314410
-4.418069;40.314410
-4.373285;40.314410
-4.328499;40.314410
-4.283710;40.314410
-4.238918;40.314410
-4.194124;40.314410
-4.149327;40.314410
-4.104528;40.314410
-4.059726;40.314410
-4.014922;40.314410
-5.000000;40.359326
-4.955254;40.359326
-4.910504;40.359326
-4.865752;40.359326
-4.820996;40.359326
-4.776238;40.359326
-4.731477;40.359326
-4.686713;40.359326
-4.641946;40.359326
-4.597176;40.359326
-4.552403;40.359326
-4.507628;40.359326
-4.462850;40.359326
-4.418069;40.359326
-4.373285;40.359326
-4.328499;40.359326
-4.283710;40.359326
-4.238918;40.359326
-4.194124;40.359326
-4.149327;40.359326
-4.104528;40.359326
-4.059726;40.359326
-4.014922;40.359326
-5.000000;40.404242
-4.955254;40.404242
-4.910504;40.404242
-4.865752;40.404242
-4.820996;40.404242
-4.776238;40.404242
-4.731477;40.404242
-4.686713;40.404242
-4.641946;40.404242
-4.597176;40.404242
-4.552403;40.404242
-4.507628;40.404242
-4.462850;40.404242
-4.418069;40.404242
-4.373285;40.404242
-4.328499;40.404242
-4.283710;40.404242
-4.238918;40.404242
-4.194124;40.404242
-4.149327;40.404242
-4.104528;40.404242
-4.059726;40.404242
-4.014922;40.404242
-5.000000;40.449158
-4.955254;40.449158
-4.910504;40.449158
-4.865752;40.449158
-4.820996;40.449158
-4.776238;40.449158
-4.731477;40.449158
-4.686713;40.449158
-4.641946;40.449158
-4.597176;40.449158
-4.552403;40.449158
-4.507628;40.449158
-4.462850;40.449158
-4.418069;40.449158
-4.373285;40.449158
-4.328499;40.449158
-4.283710;40.449158
-4.238918;40.449158
-4.194124;40.449158
-4.149327;40.449158
-4.104528;40.449158
-4.059726;40.449158
-4.014922;40.449158
-5.000000;40.494073
-4.955254;40.494073
-4.910504;40.494073
-4.865752;40.494073
-4.820996;40.494073
-4.776238;40.494073
-4.731477;40.494073
-4.686713;40.494073
-4.641946;40.494073
-4.597176;40.494073
-4.552403;40.494073
-4.507628;40.494073
-4.462850;40.494073
-4.418069;40.494073
-4.373285;40.494073
-4.328499;40.494073
-4.283710;40.494073
-4.238918;40.494073
-4.194124;40.494073
